BILLING_PROVIDER_NPI_NUM,SERVICING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_UNIQUE_BENEFICIARIES,TOTAL_CLAIMS,TOTAL_PAID
1000000015,1000000015,99232,2023-01-01,265,313,47355.99
1000000015,1000000015,J3301,2023-01-01,278,430,27563.49
1000000016,1000000016,36415,2023-01-01,24,41,1075.0
1000000016,1000000016,70450,2023-01-01,36,56,25297.04
1000000016,1000000016,97110,2023-01-01,36,52,4880.92
1000000016,1000000016,99283,2023-01-01,32,55,18862.29
1000000017,1000000017,36415,2023-01-01,12,17,420.26
1000000017,1000000017,70450,2023-01-01,13,25,11123.91
1000000017,1000000017,80053,2023-01-01,14,22,988.07
1000000017,1000000017,93000,2023-01-01,12,16,1393.92
1000000017,1000000017,99213,2023-01-01,15,20,2301.97
1000000017,1000000017,99214,2023-01-01,19,22,3858.71
1000000017,1000000017,99283,2023-01-01,14,20,7251.91
1000000018,1000000018,36415,2023-01-01,44,71,1794.4
1000000018,1000000018,93000,2023-01-01,68,81,6913.56
1000000018,1000000018,97110,2023-01-01,29,54,5234.36
1000000019,1000000019,70450,2023-01-01,145,237,106829.89
1000000019,1000000019,93000,2023-01-01,129,233,20026.83
1000000019,1000000019,99232,2023-01-01,209,419,62767.86
1000000019,1000000019,99283,2023-01-01,204,406,142305.22
1000000020,1000000020,36415,2023-01-01,24,46,1142.49
1000000020,1000000020,93000,2023-01-01,39,47,3969.71
1000000020,1000000020,97110,2023-01-01,49,73,6810.97
1000000020,1000000020,99214,2023-01-01,46,64,11797.83
1000000020,1000000020,99232,2023-01-01,47,60,8982.81
1000000020,1000000020,99283,2023-01-01,58,73,25760.36
1000000020,1000000020,J3301,2023-01-01,55,65,4224.71
1000000021,1000000021,36415,2023-01-01,17,20,501.29
1000000021,1000000021,70450,2023-01-01,15,29,13337.83
1000000021,1000000021,97110,2023-01-01,24,31,2881.36
1000000021,1000000021,99214,2023-01-01,13,21,3746.36
1000000021,1000000021,99232,2023-01-01,27,32,4546.29
1000000021,1000000021,99283,2023-01-01,13,21,7343.89
1000000021,1000000021,J3301,2023-01-01,21,25,1612.72
1000000022,1000000022,70450,2023-01-01,56,83,37165.11
1000000022,1000000022,80053,2023-01-01,92,106,4685.65
1000000022,1000000022,93000,2023-01-01,67,121,10510.94
1000000022,1000000022,97110,2023-01-01,59,110,10723.84
1000000022,1000000022,99214,2023-01-01,52,72,12709.36
1000000022,1000000022,99283,2023-01-01,91,106,37088.62
1000000023,1000000023,70450,2023-01-01,47,63,29395.46
1000000023,1000000023,99213,2023-01-01,37,71,8594.14
1000000023,1000000023,J3301,2023-01-01,35,63,4163.92
1000000024,1000000024,70450,2023-01-01,195,278,123544.64
1000000024,1000000024,80053,2023-01-01,192,245,11115.7
1000000024,1000000024,99232,2023-01-01,147,192,29382.36
1000000025,1000000025,36415,2023-01-01,23,45,1149.13
1000000025,1000000025,80053,2023-01-01,41,51,2338.67
1000000025,1000000025,99213,2023-01-01,20,34,4065.42
1000000025,1000000025,99214,2023-01-01,27,34,5988.36
1000000025,1000000025,99232,2023-01-01,25,33,4975.9
1000000025,1000000025,J3301,2023-01-01,32,56,3823.43
1000000026,1000000026,93000,2023-01-01,224,268,22775.97
1000000026,1000000026,99214,2023-01-01,204,344,62274.58
1000000026,1000000026,J3301,2023-01-01,269,315,20819.94
1000000027,1000000027,36415,2023-01-01,703,1230,30539.34
1000000027,1000000027,70450,2023-01-01,1427,1806,809418.7
1000000027,1000000027,80053,2023-01-01,729,1245,55984.85
1000000027,1000000027,99214,2023-01-01,944,1405,251799.35
1000000027,1000000027,99283,2023-01-01,908,1777,620190.34
1000000027,1000000027,J3301,2023-01-01,1154,1943,125401.47
1000000028,1000000028,36415,2023-01-01,309,440,11078.77
1000000028,1000000028,93000,2023-01-01,372,481,41242.73
1000000028,1000000028,97110,2023-01-01,247,439,41369.2
1000000028,1000000028,99214,2023-01-01,356,519,92670.52
1000000028,1000000028,99283,2023-01-01,354,516,179233.02
1000000028,1000000028,J3301,2023-01-01,481,572,37234.03
1000000029,1000000029,36415,2023-01-01,36,71,1773.15
1000000029,1000000029,70450,2023-01-01,41,62,26808.89
1000000029,1000000029,80053,2023-01-01,83,98,4580.41
1000000029,1000000029,93000,2023-01-01,53,63,5287.16
1000000029,1000000029,97110,2023-01-01,61,93,8751.24
1000000029,1000000029,99213,2023-01-01,61,103,12448.27
1000000029,1000000029,99232,2023-01-01,69,85,12863.33
1000000030,1000000030,36415,2023-01-01,31,43,1070.21
1000000030,1000000030,80053,2023-01-01,46,59,2638.08
1000000030,1000000030,93000,2023-01-01,19,38,3269.44
1000000031,1000000031,36415,2023-01-01,321,415,10463.67
1000000031,1000000031,93000,2023-01-01,333,411,34632.22
1000000031,1000000031,99213,2023-01-01,253,311,37403.29
1000000031,1000000031,99283,2023-01-01,333,524,183843.93
1000000031,1000000031,J3301,2023-01-01,281,446,28841.81
1000000032,1000000032,36415,2023-01-01,1220,1363,33939.18
1000000032,1000000032,80053,2023-01-01,633,1104,49571.55
1000000032,1000000032,97110,2023-01-01,741,1253,118593.05
1000000032,1000000032,99213,2023-01-01,770,908,108933.74
1000000032,1000000032,99232,2023-01-01,1001,1287,193099.23
1000000032,1000000032,99283,2023-01-01,467,897,311147.1
1000000032,1000000032,J3301,2023-01-01,791,1242,79798.41
1000000033,1000000033,80053,2023-01-01,394,441,19453.16
1000000033,1000000033,99213,2023-01-01,433,517,62060.05
1000000033,1000000033,99232,2023-01-01,327,425,63680.95
1000000033,1000000033,99283,2023-01-01,439,611,212605.2
1000000034,1000000034,70450,2023-01-01,743,846,378964.01
1000000034,1000000034,93000,2023-01-01,793,1075,91155.06
1000000034,1000000034,97110,2023-01-01,1070,1207,113946.85
1000000034,1000000034,99214,2023-01-01,964,1123,202118.82
1000000034,1000000034,99283,2023-01-01,881,1276,446235.64
1000000034,1000000034,J3301,2023-01-01,628,985,64207.33
1000000035,1000000035,36415,2023-01-01,15,23,583.68
1000000035,1000000035,70450,2023-01-01,12,15,6489.18
1000000035,1000000035,93000,2023-01-01,15,22,1885.51
1000000035,1000000035,99214,2023-01-01,15,22,4141.19
1000000035,1000000035,99232,2023-01-01,18,22,3427.36
1000000035,1000000035,99283,2023-01-01,12,17,5946.19
1000000036,1000000036,70450,2023-01-01,406,538,238943.98
1000000036,1000000036,97110,2023-01-01,441,541,50964.09
1000000036,1000000036,99213,2023-01-01,487,671,79710.52
1000000036,1000000036,99214,2023-01-01,227,375,67248.38
1000000036,1000000036,99283,2023-01-01,375,602,210063.38
1000000037,1000000037,36415,2023-01-01,1034,1441,35970.84
1000000037,1000000037,99213,2023-01-01,1016,1449,173111.04
1000000037,1000000037,99214,2023-01-01,817,1022,184038.76
1000000038,1000000038,80053,2023-01-01,1514,1712,77427.65
1000000038,1000000038,93000,2023-01-01,1039,1240,105734.98
1000000038,1000000038,99214,2023-01-01,1279,1456,262022.37
1000000038,1000000038,J3301,2023-01-01,1138,1898,123002.29
1000000039,1000000039,70450,2023-01-01,34,62,28098.94
1000000039,1000000039,93000,2023-01-01,37,56,4730.31
1000000039,1000000039,97110,2023-01-01,45,65,6273.38
1000000039,1000000039,99213,2023-01-01,49,74,8893.92
1000000039,1000000039,99283,2023-01-01,37,49,16637.29
1000000039,1000000039,J3301,2023-01-01,28,47,3176.98
1000000040,1000000040,36415,2023-01-01,333,571,14112.48
1000000040,1000000040,97110,2023-01-01,261,373,35793.16
1000000040,1000000040,99213,2023-01-01,230,458,54723.24
1000000040,1000000040,99214,2023-01-01,269,473,85547.39
1000000040,1000000040,99283,2023-01-01,413,583,203339.95
1000000041,1000000041,36415,2023-01-01,191,293,7286.53
1000000041,1000000041,97110,2023-01-01,161,309,28886.27
1000000041,1000000041,99213,2023-01-01,157,254,30534.41
1000000042,1000000042,36415,2023-01-01,642,904,22657.29
1000000042,1000000042,70450,2023-01-01,376,546,246800.56
1000000042,1000000042,93000,2023-01-01,537,644,55007.99
1000000042,1000000042,99232,2023-01-01,512,758,113932.45
1000000043,1000000043,97110,2023-01-01,1192,1625,154910.53
1000000043,1000000043,99214,2023-01-01,1007,1665,300584.21
1000000043,1000000043,99232,2023-01-01,824,1444,217462.12
1000000044,1000000044,70450,2023-01-01,552,760,344898.99
1000000044,1000000044,93000,2023-01-01,317,570,47915.38
1000000044,1000000044,97110,2023-01-01,288,508,47912.46
1000000044,1000000044,99214,2023-01-01,568,817,147247.34
1000000044,1000000044,99283,2023-01-01,494,717,250997.07
1000000045,1000000045,70450,2023-01-01,36,73,33855.12
1000000045,1000000045,93000,2023-01-01,49,98,8259.51
1000000045,1000000045,97110,2023-01-01,43,69,6171.34
1000000045,1000000045,99214,2023-01-01,61,115,20461.81
1000000045,1000000045,J3301,2023-01-01,65,115,7342.92
1000000046,1000000046,80053,2023-01-01,577,859,38887.41
1000000046,1000000046,93000,2023-01-01,793,951,81471.25
1000000046,1000000046,97110,2023-01-01,411,776,74461.2
1000000046,1000000046,99213,2023-01-01,643,907,109867.2
1000000046,1000000046,99214,2023-01-01,529,886,159522.46
1000000046,1000000046,99283,2023-01-01,611,688,241924.79
1000000047,1000000047,80053,2023-01-01,420,487,21898.42
1000000047,1000000047,97110,2023-01-01,324,457,42716.62
1000000047,1000000047,J3301,2023-01-01,394,470,30114.3
1000000048,1000000048,36415,2023-01-01,30,45,1113.69
1000000048,1000000048,80053,2023-01-01,24,35,1670.47
1000000048,1000000048,93000,2023-01-01,20,37,3189.0
1000000048,1000000048,97110,2023-01-01,26,51,4906.98
1000000048,1000000048,99213,2023-01-01,25,34,4268.2
1000000048,1000000048,99232,2023-01-01,33,43,6736.74
1000000048,1000000048,99283,2023-01-01,34,49,17114.24
1000000049,1000000049,36415,2023-01-01,988,1271,31752.24
1000000049,1000000049,70450,2023-01-01,913,1612,726289.94
1000000049,1000000049,99213,2023-01-01,762,987,117586.43
1000000049,1000000049,99232,2023-01-01,1132,1342,202372.71
1000000050,1000000050,36415,2023-01-01,965,1292,32499.54
1000000050,1000000050,70450,2023-01-01,1562,1805,813416.44
1000000050,1000000050,93000,2023-01-01,641,1194,101038.33
1000000050,1000000050,99232,2023-01-01,1478,1758,263791.82
1000000051,1000000051,70450,2023-01-01,1308,1502,678011.13
1000000051,1000000051,80053,2023-01-01,780,1228,55198.43
1000000051,1000000051,93000,2023-01-01,814,1416,121374.93
1000000051,1000000051,97110,2023-01-01,651,1094,104560.61
1000000051,1000000051,99214,2023-01-01,629,1152,207802.34
1000000051,1000000051,99283,2023-01-01,802,1224,431250.21
1000000051,1000000051,J3301,2023-01-01,721,1121,72383.19
1000000052,1000000052,36415,2023-01-01,1159,1352,34061.51
1000000052,1000000052,97110,2023-01-01,1483,1737,165301.17
1000000052,1000000052,J3301,2023-01-01,1882,2142,139213.24
1000000053,1000000053,36415,2023-01-01,398,588,14759.44
1000000053,1000000053,80053,2023-01-01,469,610,27327.08
1000000053,1000000053,99213,2023-01-01,350,455,54529.87
1000000053,1000000053,99214,2023-01-01,279,349,62094.31
1000000054,1000000054,36415,2023-01-01,374,581,14544.23
1000000054,1000000054,70450,2023-01-01,482,614,274617.58
1000000054,1000000054,99213,2023-01-01,326,603,72107.69
1000000054,1000000054,99232,2023-01-01,374,703,105408.49
1000000054,1000000054,J3301,2023-01-01,668,768,49824.5
1000000055,1000000055,36415,2023-01-01,1114,1680,42202.83
1000000055,1000000055,99232,2023-01-01,1151,2123,318943.5
1000000055,1000000055,J3301,2023-01-01,1291,2198,143198.35
1000000056,1000000056,80053,2023-01-01,872,1312,59189.41
1000000056,1000000056,97110,2023-01-01,993,1675,157155.38
1000000056,1000000056,99214,2023-01-01,904,1495,268895.86
1000000056,1000000056,99283,2023-01-01,976,1197,418012.01
1000000057,1000000057,80053,2023-01-01,320,461,20965.97
1000000057,1000000057,93000,2023-01-01,339,405,34414.54
1000000057,1000000057,99232,2023-01-01,545,612,90988.0
1000000057,1000000057,99283,2023-01-01,364,680,238526.15
1000000058,1000000058,36415,2023-01-01,81,91,2281.44
1000000058,1000000058,80053,2023-01-01,132,156,6924.82
1000000058,1000000058,97110,2023-01-01,80,153,14494.29
1000000058,1000000058,99213,2023-01-01,99,115,13937.83
1000000058,1000000058,99283,2023-01-01,58,94,33077.52
1000000058,1000000058,J3301,2023-01-01,108,151,9852.3
1000000059,1000000059,70450,2023-01-01,66,75,32963.73
1000000059,1000000059,97110,2023-01-01,44,53,5238.91
1000000059,1000000059,99213,2023-01-01,46,68,8300.79
1000000059,1000000059,99232,2023-01-01,75,90,13272.78
1000000059,1000000059,99283,2023-01-01,64,88,30758.2
1000000060,1000000060,80053,2023-01-01,1179,1365,61588.5
1000000060,1000000060,93000,2023-01-01,677,1130,95327.43
1000000060,1000000060,99213,2023-01-01,750,1056,127068.44
1000000060,1000000060,99232,2023-01-01,776,1173,176967.04
1000000061,1000000061,70450,2023-01-01,36,44,19434.06
1000000061,1000000061,93000,2023-01-01,29,58,5113.21
1000000061,1000000061,97110,2023-01-01,27,40,3894.09
1000000061,1000000061,99213,2023-01-01,36,44,5302.16
1000000061,1000000061,99283,2023-01-01,23,46,15820.7
1000000061,1000000061,J3301,2023-01-01,27,45,2830.32
1000000062,1000000062,80053,2023-01-01,24,31,1427.12
1000000062,1000000062,99232,2023-01-01,17,23,3306.63
1000000062,1000000062,99283,2023-01-01,25,36,12897.13
1000000063,1000000063,70450,2023-01-01,27,53,23421.8
1000000063,1000000063,80053,2023-01-01,38,52,2454.4
1000000063,1000000063,97110,2023-01-01,25,39,3692.33
1000000063,1000000063,99283,2023-01-01,34,51,17882.87
1000000064,1000000064,93000,2023-01-01,38,57,4784.83
1000000064,1000000064,99214,2023-01-01,53,60,10935.25
1000000064,1000000064,99283,2023-01-01,67,88,31225.25
1000000065,1000000065,36415,2023-01-01,81,98,2524.99
1000000065,1000000065,99213,2023-01-01,88,112,13547.07
1000000065,1000000065,99283,2023-01-01,114,148,52232.87
1000000066,1000000066,36415,2023-01-01,28,47,1217.86
1000000066,1000000066,97110,2023-01-01,35,45,4193.05
1000000066,1000000066,99283,2023-01-01,26,32,11309.52
1000000067,1000000067,36415,2023-01-01,205,316,8143.55
1000000067,1000000067,99213,2023-01-01,214,354,43064.72
1000000067,1000000067,99283,2023-01-01,158,295,102949.07
1000000067,1000000067,J3301,2023-01-01,262,333,21443.94
1000000068,1000000068,36415,2023-01-01,1628,2130,53365.72
1000000068,1000000068,93000,2023-01-01,1895,2358,200430.42
1000000068,1000000068,97110,2023-01-01,976,1769,168672.13
1000000068,1000000068,99213,2023-01-01,1444,2128,256294.18
1000000068,1000000068,99232,2023-01-01,771,1415,212636.09
1000000068,1000000068,99283,2023-01-01,832,1519,533212.56
1000000069,1000000069,70450,2023-01-01,66,82,38508.33
1000000069,1000000069,93000,2023-01-01,59,74,6270.82
1000000069,1000000069,99214,2023-01-01,50,69,12745.04
1000000070,1000000070,80053,2023-01-01,77,90,3969.68
1000000070,1000000070,97110,2023-01-01,44,82,7748.89
1000000070,1000000070,99214,2023-01-01,34,58,10517.52
1000000070,1000000070,99232,2023-01-01,64,72,10930.26
1000000071,1000000071,80053,2023-01-01,1046,1644,74443.23
1000000071,1000000071,97110,2023-01-01,969,1447,138025.58
1000000071,1000000071,99213,2023-01-01,573,1053,126469.84
1000000071,1000000071,99214,2023-01-01,995,1279,230141.4
1000000071,1000000071,99232,2023-01-01,620,1067,159818.4
1000000071,1000000071,99283,2023-01-01,902,1136,394182.07
1000000071,1000000071,J3301,2023-01-01,1320,1570,102159.31
1000000072,1000000072,36415,2023-01-01,1570,1815,44995.35
1000000072,1000000072,70450,2023-01-01,1004,1268,569056.46
1000000072,1000000072,93000,2023-01-01,898,1294,110838.99
1000000072,1000000072,99214,2023-01-01,701,1269,228693.52
1000000072,1000000072,99232,2023-01-01,977,1330,199766.58
1000000072,1000000072,99283,2023-01-01,1180,1432,501622.13
1000000072,1000000072,J3301,2023-01-01,1125,1763,114279.89
1000000073,1000000073,36415,2023-01-01,1329,2262,56670.58
1000000073,1000000073,99213,2023-01-01,1020,1613,192687.78
1000000073,1000000073,99283,2023-01-01,742,1467,516743.19
1000000073,1000000073,J3301,2023-01-01,1655,2272,148040.05
1000000074,1000000074,36415,2023-01-01,38,44,1039.69
1000000074,1000000074,70450,2023-01-01,32,54,24239.44
1000000074,1000000074,80053,2023-01-01,36,56,2549.5
1000000074,1000000074,99213,2023-01-01,21,41,5001.36
1000000075,1000000075,36415,2023-01-01,1413,1777,44340.38
1000000075,1000000075,70450,2023-01-01,1107,1340,605414.67
1000000075,1000000075,99214,2023-01-01,1053,1679,301299.21
1000000075,1000000075,99283,2023-01-01,1362,1572,553639.39
1000000076,1000000076,97110,2023-01-01,507,1005,94657.83
1000000076,1000000076,99213,2023-01-01,994,1307,158057.45
1000000076,1000000076,99214,2023-01-01,690,1046,187124.36
1000000076,1000000076,J3301,2023-01-01,723,1231,80024.05
1000000077,1000000077,36415,2023-01-01,178,320,8197.25
1000000077,1000000077,70450,2023-01-01,218,294,130647.48
1000000077,1000000077,93000,2023-01-01,188,265,22304.58
1000000077,1000000077,97110,2023-01-01,260,341,32222.31
1000000077,1000000077,99214,2023-01-01,142,225,40086.73
1000000078,1000000078,36415,2023-01-01,50,57,1293.24
1000000078,1000000078,80053,2023-01-01,70,80,3531.36
1000000078,1000000078,97110,2023-01-01,48,90,8727.78
1000000078,1000000078,J3301,2023-01-01,40,59,3917.03
1000000079,1000000079,36415,2023-01-01,35,59,1425.23
1000000079,1000000079,93000,2023-01-01,50,88,7228.4
1000000079,1000000079,99214,2023-01-01,43,83,14590.02
1000000079,1000000079,99283,2023-01-01,30,61,21582.15
1000000080,1000000080,70450,2023-01-01,915,1388,630204.19
1000000080,1000000080,93000,2023-01-01,921,1497,126775.48
1000000080,1000000080,97110,2023-01-01,1322,1606,152599.71
1000000080,1000000080,99214,2023-01-01,1310,1493,269954.63
1000000080,1000000080,99232,2023-01-01,1008,1850,276019.29
1000000081,1000000081,70450,2023-01-01,35,46,20774.12
1000000081,1000000081,93000,2023-01-01,41,66,5598.53
1000000081,1000000081,99232,2023-01-01,46,56,8278.55
1000000082,1000000082,36415,2023-01-01,236,430,10817.67
1000000082,1000000082,70450,2023-01-01,284,341,155289.06
1000000082,1000000082,99213,2023-01-01,360,452,54337.96
1000000082,1000000082,99232,2023-01-01,272,373,55691.51
1000000082,1000000082,J3301,2023-01-01,301,566,36693.04
1000000083,1000000083,36415,2023-01-01,25,41,1066.1
1000000083,1000000083,93000,2023-01-01,24,45,3859.03
1000000083,1000000083,97110,2023-01-01,48,63,5759.03
1000000083,1000000083,99214,2023-01-01,33,40,6960.8
1000000083,1000000083,99232,2023-01-01,43,58,8792.44
1000000084,1000000084,36415,2023-01-01,1102,1293,32404.0
1000000084,1000000084,80053,2023-01-01,793,1449,65588.18
1000000084,1000000084,97110,2023-01-01,1157,2171,207041.38
1000000084,1000000084,99213,2023-01-01,1079,1294,154817.37
1000000084,1000000084,99232,2023-01-01,1332,1722,258132.49
1000000085,1000000085,70450,2023-01-01,26,49,22116.06
1000000085,1000000085,99214,2023-01-01,22,39,7120.96
1000000085,1000000085,J3301,2023-01-01,26,32,2153.85
1000000086,1000000086,70450,2023-01-01,58,66,30861.68
1000000086,1000000086,99213,2023-01-01,52,90,10700.78
1000000086,1000000086,99214,2023-01-01,73,89,15928.97
1000000086,1000000086,J3301,2023-01-01,33,67,4458.83
1000000087,1000000087,80053,2023-01-01,27,48,2123.58
1000000087,1000000087,93000,2023-01-01,31,46,3703.05
1000000087,1000000087,99213,2023-01-01,27,49,6128.17
1000000087,1000000087,99214,2023-01-01,35,42,7994.97
1000000087,1000000087,99232,2023-01-01,27,48,7055.75
1000000087,1000000087,99283,2023-01-01,16,32,10940.63
1000000088,1000000088,70450,2023-01-01,83,144,64752.98
1000000088,1000000088,93000,2023-01-01,87,116,9521.43
1000000088,1000000088,97110,2023-01-01,58,99,9377.32
1000000089,1000000089,99214,2023-01-01,114,198,35670.05
1000000089,1000000089,99232,2023-01-01,88,128,19078.87
1000000089,1000000089,99283,2023-01-01,104,156,54268.63
1000000089,1000000089,J3301,2023-01-01,139,196,12527.99
1000000090,1000000090,80053,2023-01-01,25,35,1511.98
1000000090,1000000090,97110,2023-01-01,14,26,2522.15
1000000090,1000000090,99213,2023-01-01,26,35,4190.5
1000000090,1000000090,99214,2023-01-01,18,22,3808.19
1000000090,1000000090,99232,2023-01-01,23,34,4852.03
1000000090,1000000090,J3301,2023-01-01,17,33,2157.82
1000000091,1000000091,36415,2023-01-01,64,75,1868.69
1000000091,1000000091,70450,2023-01-01,73,132,59192.54
1000000091,1000000091,99214,2023-01-01,47,91,16413.16
1000000091,1000000091,99283,2023-01-01,105,135,48429.46
1000000092,1000000092,80053,2023-01-01,1368,1760,79145.76
1000000092,1000000092,99213,2023-01-01,1350,1536,184753.68
1000000092,1000000092,99232,2023-01-01,938,1674,250162.49
1000000092,1000000092,J3301,2023-01-01,789,1165,75522.31
1000000093,1000000093,36415,2023-01-01,46,69,1648.84
1000000093,1000000093,80053,2023-01-01,46,91,4088.52
1000000093,1000000093,99213,2023-01-01,54,64,7767.98
1000000093,1000000093,99214,2023-01-01,38,57,9865.99
1000000093,1000000093,99232,2023-01-01,54,87,12527.68
1000000094,1000000094,80053,2023-01-01,167,310,13603.47
1000000094,1000000094,93000,2023-01-01,153,209,17890.78
1000000094,1000000094,97110,2023-01-01,229,263,25257.94
1000000094,1000000094,99213,2023-01-01,114,208,25041.5
1000000094,1000000094,99214,2023-01-01,149,190,34272.38
1000000095,1000000095,36415,2023-01-01,83,128,3235.18
1000000095,1000000095,70450,2023-01-01,75,109,50787.06
1000000095,1000000095,93000,2023-01-01,84,131,11095.08
1000000095,1000000095,97110,2023-01-01,84,144,13863.52
1000000095,1000000095,99214,2023-01-01,92,118,20949.44
1000000095,1000000095,99232,2023-01-01,74,132,19498.6
1000000095,1000000095,J3301,2023-01-01,94,139,8810.95
1000000096,1000000096,70450,2023-01-01,35,61,27321.86
1000000096,1000000096,80053,2023-01-01,35,40,1787.31
1000000096,1000000096,99213,2023-01-01,36,66,8304.2
1000000096,1000000096,99214,2023-01-01,31,39,6914.37
1000000096,1000000096,99232,2023-01-01,38,44,6773.96
1000000096,1000000096,99283,2023-01-01,41,58,19869.25
1000000097,1000000097,70450,2023-01-01,25,33,15273.45
1000000097,1000000097,80053,2023-01-01,23,37,1712.1
1000000097,1000000097,93000,2023-01-01,24,32,2754.45
1000000097,1000000097,97110,2023-01-01,36,43,4052.69
1000000097,1000000097,99213,2023-01-01,31,50,6187.58
1000000097,1000000097,99283,2023-01-01,29,44,15236.3
